#date,plus,minus
2019-04-30,0,0
2019-05-01,0,0
2019-05-02,2,0
2019-05-03,0,0
2019-05-04,0,0
2019-05-05,0,-2
2019-05-06,0,0
2019-05-07,1,-2
2019-05-08,3,-1
2019-05-09,1,0
2019-05-10,0,0
2019-05-11,0,0
2019-05-12,0,0
2019-05-13,1,0
2019-05-14,1,0
2019-05-15,0,-1
2019-05-16,1,-1
2019-05-17,1,0
2019-05-18,0,0
2019-05-19,0,0
2019-05-20,1,0
2019-05-21,2,-1
2019-05-22,3,-2
2019-05-23,1,0
2019-05-24,0,-2
2019-05-25,2,-1
2019-05-26,3,-1
2019-05-27,1,0
2019-05-28,1,0
2019-05-29,0,0
2019-05-30,1,0
2019-05-31,0,0
2019-06-01,1,0
2019-06-02,1,0
2019-06-03,2,0
2019-06-04,3,0
2019-06-05,2,0
2019-06-06,1,0
2019-06-07,1,0
2019-06-08,0,0
2019-06-09,0,0
2019-06-10,0,-1
2019-06-11,1,-1
2019-06-12,2,0
2019-06-13,1,-1
2019-06-14,0,0
2019-06-15,1,0
2019-06-16,0,0
2019-06-17,0,0
2019-06-18,0,0
2019-06-19,0,0
2019-06-20,1,0
2019-06-21,0,0
2019-06-22,1,0
2019-06-23,0,0
2019-06-24,1,0
2019-06-25,0,0
2019-06-26,4,0
2019-06-27,1,0
2019-06-28,2,0
2019-06-29,0,0
2019-06-30,0,0
2019-07-01,1,0
2019-07-02,0,0
2019-07-03,1,0
2019-07-04,0,0
2019-07-05,0,0
2019-07-06,0,0
2019-07-07,0,0
2019-07-08,1,0
2019-07-09,0,0
2019-07-10,0,0
2019-07-11,1,0
2019-07-12,0,0
2019-07-13,0,0
2019-07-14,1,0
2019-07-15,0,0
2019-07-16,0,0
2019-07-17,0,0
2019-07-18,1,0
2019-07-19,1,0
2019-07-20,0,0
2019-07-21,0,0
2019-07-22,2,0
2019-07-23,1,0
2019-07-24,0,-572
2019-07-25,0,0
2019-07-26,0,0
2019-07-27,0,0
2019-07-28,0,0
2019-07-29,1,0
2019-07-30,0,0
2019-07-31,0,0
2019-08-01,1,0
2019-08-02,2,0
2019-08-03,0,0
2019-08-04,0,0
2019-08-05,1,0
2019-08-06,0,0
2019-08-07,1,0
2019-08-08,0,0
2019-08-09,1,0
2019-08-10,0,0
2019-08-11,0,0
2019-08-12,0,0
2019-08-13,2,0
2019-08-14,1,0
2019-08-15,2,0
2019-08-16,5,0
2019-08-17,0,0
2019-08-18,1,0
2019-08-19,0,0
2019-08-20,1,0
2019-08-21,0,0
2019-08-22,1,0
2019-08-23,0,0
2019-08-24,0,0
2019-08-25,0,0
2019-08-26,0,0
2019-08-27,0,0
2019-08-28,2,0
2019-08-29,1,0
2019-08-30,3,-1
2019-08-31,3,0
2019-09-01,0,0
2019-09-02,1,0
2019-09-03,1,0
2019-09-04,1,0
2019-09-05,0,0
2019-09-06,0,0
2019-09-07,1,0
2019-09-08,0,0
2019-09-09,1,0
2019-09-10,1,-2
2019-09-11,2,0
2019-09-12,1,0
2019-09-13,1,0
2019-09-14,1,0
2019-09-15,0,0
2019-09-16,1,0
2019-09-17,2,0
2019-09-18,1,0
2019-09-19,0,0
2019-09-20,0,0
2019-09-21,0,0
2019-09-22,0,0
2019-09-23,3,0
2019-09-24,0,0
2019-09-25,1,0
2019-09-26,7,0
2019-09-27,0,-622
2019-09-28,0,0
2019-09-29,1,0
2019-09-30,0,0
2019-10-01,1,-1
2019-10-02,0,0
2019-10-03,0,0
2019-10-04,1,-1
2019-10-05,1,0
2019-10-06,0,0
2019-10-07,2,0
2019-10-08,0,-1
2019-10-09,0,0
2019-10-10,1,0
2019-10-11,1,-129
2019-10-12,133,0
2019-10-13,0,0
2019-10-14,14,-2
2019-10-15,5,-1
2019-10-16,1,0
2019-10-17,1,-1
2019-10-18,0,0
2019-10-19,0,-350
2019-10-20,351,0
2019-10-21,2,0
2019-10-22,0,0
2019-10-23,1,0
2019-10-24,0,-650
2019-10-25,0,0
2019-10-26,1,-1
2019-10-27,0,-650
2019-10-28,0,0
2019-10-29,0,-650
2019-10-30,0,0
2019-10-31,2,0
2019-11-01,1,0
2019-11-02,0,0
2019-11-03,2,0
2019-11-04,1,0
2019-11-05,2,0
2019-11-06,0,0
2019-11-07,0,0
2019-11-08,1,-1
2019-11-09,0,0
2019-11-10,0,-1
2019-11-11,2,-1
2019-11-12,2,0
2019-11-13,2,0
2019-11-14,0,0
2019-11-15,6,0
2019-11-16,0,0
2019-11-17,0,0
2019-11-18,0,0
2019-11-19,1,0
2019-11-20,0,0
2019-11-21,0,0
2019-11-22,1,0
2019-11-23,1,0
2019-11-24,2,0
2019-11-25,1,0
2019-11-26,11,0
2019-11-27,2,0
2019-11-28,0,-1
2019-11-29,1,-6
2019-11-30,1,0
2019-12-01,0,0
2019-12-02,3,-1
2019-12-03,1,0
2019-12-04,0,0
2019-12-05,1,0
2019-12-06,2,0
2019-12-07,3,0
2019-12-08,0,-2
2019-12-09,3,-1
2019-12-10,3,-1
2019-12-11,1,-1
2019-12-12,2,-7
2019-12-13,1,-1
2019-12-14,0,0
2019-12-15,1,0
2019-12-16,1,0
2019-12-17,0,0
2019-12-18,1,-3
2019-12-19,2,0
2019-12-20,8,0
2019-12-21,1,0
2019-12-22,0,0
2019-12-23,3,0
2019-12-24,4,-2
2019-12-25,0,0
2019-12-26,1,0
2019-12-27,2,0
2019-12-28,5,0
2019-12-29,0,0
2019-12-30,0,-1
2019-12-31,1,0
2020-01-01,0,0
2020-01-02,10,-1
2020-01-03,0,0
2020-01-04,2,0
2020-01-05,2,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,2,0
2020-01-09,0,0
2020-01-10,3,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,4,-5
2020-01-16,1,-1
2020-01-17,1,0
2020-01-18,1,0
2020-01-19,0,0
2020-01-20,1,0
2020-01-21,1,0
2020-01-22,1,0
2020-01-23,0,-727
2020-01-24,0,0
2020-01-25,1,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,1,0
2020-01-29,1,0
2020-01-30,0,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,1,0
2020-02-07,0,-1
2020-02-08,1,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,1,0
2020-02-15,0,0
2020-02-16,0,0
